customer_id,country,age,gender,membership_tier,registration_date,total_orders,total_spend_usd,avg_order_value_usd,days_since_last_purchase,preferred_category,preferred_device,preferred_payment_method,acquisition_channel,reviews_given,avg_review_score,returns_made,wishlist_items,newsletter_subscribed,churned,orders_with_discount,avg_discount_pct,total_discount_usd,discount_ratio,recency_log,frequency_log,monetary_log,recency_final,frequency_final,monetary_final,Cluster_RFM,recency_cat,frequency_cat,monetary_cat,account_age_days,age_group,region,Cluster_LCA,prob_max_clase
C00001,United States,40,Male,Free,2019-01-17,4,286.63,63.78,49,Food & Grocery,Mobile,Debit Card,Social Media,1,4.5,0,12,0,0,0.0,0.0,0.0,0.0,3.912023005428146,1.6094379124341003,5.661674931950632,0.30075165777100177,-0.9984843863130948,-0.7802637158724351,2,En Riesgo,Ocasional,Gasto Bajo,2692,36-45,Norteamérica,0,0.6881249222139201
C00002,United States,20,Female,Free,2026-03-04,11,1245.18,107.32,126,Toys & Games,Mobile,Debit Card,Organic Search,2,2.6,1,1,0,0,2.0,3.75,3.9099999999999997,0.18181818181818182,4.844187086458591,2.4849066497880004,7.127838151193022,1.0695896469642034,-0.02225505409066562,0.3801539602452056,0,Dormido,Frecuente,Gasto Medio,89,18-25,Norteamérica,2,0.5238081553170356
C00003,United States,43,Female,Gold,2026-02-08,4,195.37,42.74,0,Home & Kitchen,Mobile,PayPal,Referral,0,4.8,0,0,1,0,2.0,8.333333333333334,12.89,0.5,0.0,1.6094379124341003,5.280000634762139,-2.925838984775637,-0.9984843863130948,-1.0823457727434054,1,Activo,Ocasional,Gasto Bajo,113,36-45,Norteamérica,2,0.398492320216906
C00004,United States,41,Male,Free,2025-03-19,6,99.45,15.61,6,Electronics,Desktop,PayPal,Organic Search,2,4.2,0,8,1,0,0.0,0.0,0.0,0.0,1.9459101490553132,1.9459101490553132,4.609660091260944,-1.3208751413967943,-0.6232864462233948,-1.6128972185087989,2,Activo,Frecuente,Gasto Bajo,439,36-45,Norteamérica,2,0.42435721112829083
C00005,France,37,Other,Platinum,2024-09-10,36,2593.21,79.09,161,Clothing & Apparel,Tablet,Debit Card,Social Media,9,4.0,4,5,1,0,2.0,5.0,23.54,0.05555555555555555,5.087596335232384,3.6109179126442243,7.861037317652054,1.2703507374059175,1.23335257221422,0.9604558404911326,0,Dormido,Frecuente,Gasto Alto,629,36-45,Europa,2,0.48580271879822157
C00006,UAE,34,Male,Platinum,2024-04-17,20,1639.15,79.99,4,Office Supplies,Tablet,UPI / Digital Wallet,Organic Search,3,4.3,2,7,1,0,2.0,5.0,11.24,0.1,1.6094379124341003,3.044522437723423,7.402542980050355,-1.5983934915323468,0.6017687672608033,0.5975733682191959,1,Activo,Frecuente,Gasto Alto,775,26-35,Otros,1,0.6924666978508206
C00007,Canada,25,Male,Silver,2025-09-03,5,200.79,44.67,108,Clothing & Apparel,Desktop,UPI / Digital Wallet,Email Campaign,1,3.9,0,7,1,0,0.0,0.0,0.0,0.0,4.6913478822291435,1.791759469228055,5.307227552677793,0.9435296658504068,-0.79517883804568,-1.060796605228581,2,Dormido,Ocasional,Gasto Bajo,271,18-25,Norteamérica,1,0.36826640554276785
C00008,Singapore,33,Female,Silver,2025-08-09,32,947.14,33.12,122,Sports & Outdoors,Mobile,PayPal,Referral,3,4.5,4,0,0,0,1.0,2.5,14.66,0.03125,4.812184355372417,3.4965075614664802,6.854502170676398,1.043194170118769,1.1057743550100654,0.16381794857364315,0,Dormido,Frecuente,Gasto Medio,296,26-35,Asia,2,0.43249826948655484
C00009,United States,47,Male,Free,2026-03-18,49,4320.4,88.62,4,Clothing & Apparel,Mobile,Credit Card,Organic Search,16,3.9,4,4,1,0,1.0,2.5,4.65,0.02040816326530612,1.6094379124341003,3.912023005428146,8.37133470281157,-1.5983934915323468,1.569112846813717,1.3643386401985895,1,Activo,Frecuente,Gasto Alto,75,46-55,Norteamérica,1,0.4718691961383962
C00010,United States,18,Male,Free,2025-09-16,4,111.38,24.98,82,Beauty & Personal Care,Mobile,Credit Card,Social Media,1,3.7,0,4,1,0,1.0,15.0,51.6,0.25,4.418840607796598,1.6094379124341003,4.721885985684052,0.7187688654947072,-0.9984843863130948,-1.5240742894532053,2,Dormido,Ocasional,Gasto Bajo,258,18-25,Norteamérica,0,0.700133279343582
C00011,United States,64,Female,Silver,2025-10-21,27,253.72,9.18,54,Home & Kitchen,Mobile,UPI / Digital Wallet,Organic Search,10,4.3,3,1,1,0,2.0,4.0,23.2,0.07407407407407407,4.007333185232471,3.332204510175204,5.540164902656018,0.3793623750058859,0.9225611216866336,-0.8764347178239792,0,En Riesgo,Frecuente,Gasto Bajo,223,56+,Norteamérica,2,0.7814576689052025
C00012,United Kingdom,40,Other,Free,2022-11-18,7,941.66,155.85,24,Books,Mobile,Debit Card,Paid Ad,1,4.9,0,12,0,0,1.0,5.0,5.93,0.14285714285714285,3.2188758248682006,2.0794415416798357,6.848705666187561,-0.27094799828905625,-0.47438648361984964,0.15923021497054676,1,Activo,Frecuente,Gasto Medio,1291,36-45,Europa,2,0.5159604479783554
C00013,United Kingdom,42,Male,Platinum,2026-01-31,8,342.45,45.35,58,Electronics,Mobile,Debit Card,Direct,2,4.4,0,0,1,0,0.0,0.0,0.0,0.0,4.07753744390572,2.1972245773362196,5.839041540659891,0.43726602326861796,-0.34304740851649596,-0.6398841556720243,2,En Riesgo,Frecuente,Gasto Bajo,121,36-45,Europa,1,0.45754227056446845
C00014,Netherlands,40,Female,Silver,2025-08-25,31,3404.13,107.74,9,Beauty & Personal Care,Mobile,Credit Card,Email Campaign,3,4.8,0,0,1,0,0.0,0.0,0.0,0.0,2.302585092994046,3.4657359027997265,8.13303839700312,-1.0266938354722885,1.071461084290179,1.175735323879859,1,Activo,Frecuente,Gasto Alto,280,36-45,Europa,2,0.8161137950561987
C00015,Brazil,52,Male,Silver,2022-12-01,18,2901.68,144.49,40,Health & Wellness,Mobile,Bank Transfer,Organic Search,1,4.2,0,0,1,0,1.0,10.0,16.84,0.05555555555555555,3.713572066704308,2.9444389791664403,7.973389727153041,0.13707165358839518,0.49016637217253833,1.0493789018721993,0,En Riesgo,Frecuente,Gasto Alto,1278,46-55,Latinoamérica,0,0.5177679366088579
C00016,United States,33,Male,Free,2024-11-24,11,327.64,27.92,36,Health & Wellness,Mobile,Debit Card,Organic Search,2,4.1,0,11,1,0,0.0,0.0,0.0,0.0,3.6109179126442243,2.4849066497880004,5.794962926740193,0.052403712615344426,-0.02225505409066562,-0.674770860003356,2,En Riesgo,Frecuente,Gasto Bajo,554,26-35,Norteamérica,2,0.47217149534950614
C00017,United States,29,Female,Free,2023-05-25,11,733.7,72.22,32,Travel & Luggage,Desktop,UPI / Digital Wallet,Email Campaign,1,4.6,1,4,0,0,1.0,10.0,7.06,0.09090909090909091,3.4965075614664802,2.4849066497880004,6.599462252626232,-0.041960601707030656,-0.02225505409066562,-0.03803735998738825,0,En Riesgo,Frecuente,Gasto Medio,1103,26-35,Norteamérica,2,0.677409357315582
C00018,France,36,Male,Gold,2021-12-01,48,2040.03,41.18,93,Office Supplies,Desktop,Credit Card,Organic Search,6,4.6,0,8,1,0,0.0,0.0,0.0,0.0,4.543294782270004,3.8918202981106265,7.621209861378939,0.8214172073435579,1.5465849430381025,0.7706406713304588,0,Dormido,Frecuente,Gasto Alto,1643,36-45,Europa,1,0.883867264601741
C00019,United States,34,Male,Gold,2021-04-03,2,142.28,76.73,0,Home & Kitchen,Mobile,Debit Card,Paid Ad,0,4.3,0,3,1,0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,4.964800757752457,-2.925838984775637,-1.5681026220006942,-1.3318156162040418,1,Activo,Ocasional,Gasto Bajo,1885,26-35,Norteamérica,2,0.3605589794085969
C00021,United Kingdom,29,Male,Free,2025-07-30,8,176.93,23.77,92,Clothing & Apparel,Desktop,Bank Transfer,Email Campaign,2,4.7,0,1,1,0,3.0,7.5,16.08,0.375,4.532599493153256,2.1972245773362196,5.181390214518745,0.8125958584569218,-0.34304740851649596,-1.1603925230628902,2,Dormido,Frecuente,Gasto Bajo,306,26-35,Europa,1,0.3860226756807617
C00022,Mexico,22,Female,Free,2024-08-16,48,833.16,20.02,24,Travel & Luggage,Desktop,PayPal,Paid Ad,14,3.9,6,8,0,0,0.0,0.0,0.0,0.0,3.2188758248682006,3.8918202981106265,6.726425230481338,-0.27094799828905625,1.5465849430381025,0.0624494628860756,0,Activo,Frecuente,Gasto Medio,654,18-25,Norteamérica,2,0.5683168803292795
C00023,United Kingdom,47,Female,Platinum,2025-01-21,43,4004.31,102.24,2,Food & Grocery,Desktop,Debit Card,Paid Ad,11,4.1,3,2,1,0,1.0,2.0,17.37,0.023255813953488372,1.0986122886681098,3.784189633918261,8.295376259752926,-2.019716468245263,1.4265667094358958,1.304220149420208,1,Activo,Frecuente,Gasto Alto,496,46-55,Europa,0,0.566698822843633
C00024,Japan,47,Male,Platinum,2024-11-08,5,954.36,166.04,45,Electronics,Mobile,PayPal,Social Media,0,4.2,0,1,1,0,2.0,15.0,62.71,0.4,3.828641396489095,1.791759469228055,6.8620882327986825,0.23197948572857785,-0.79517883804568,0.169822055390191,2,En Riesgo,Ocasional,Gasto Medio,570,46-55,Asia,0,0.6492424989155433
C00025,United States,37,Female,Free,2024-07-04,14,1298.41,81.8,50,Electronics,Desktop,Credit Card,Email Campaign,4,4.6,0,3,0,0,1.0,5.0,57.3,0.07142857142857142,3.9318256327243257,2.70805020110221,7.169665594276445,0.3170846322558232,0.2265708271711033,0.41325894041643724,0,En Riesgo,Frecuente,Gasto Medio,697,36-45,Norteamérica,2,0.5737858187430449
C00027,India,30,Male,Free,2026-01-22,5,417.42,97.94,2,Beauty & Personal Care,Desktop,PayPal,Organic Search,1,4.7,0,2,1,0,2.0,13.75,138.24,0.4,1.0986122886681098,1.791759469228055,6.0364857127555025,-2.019716468245263,-0.79517883804568,-0.48361389575883884,1,Activo,Ocasional,Gasto Bajo,130,26-35,Asia,0,0.6419142791600735
C00028,Japan,37,Female,Free,2025-12-20,1,126.93,130.83,28,Sports & Outdoors,Mobile,UPI / Digital Wallet,Organic Search,0,4.2,0,2,1,0,1.0,15.0,13.32,1.0,3.367295829986474,0.6931471805599453,4.851483239328943,-0.14853292071490626,-2.020234051529878,-1.4215025280475806,2,Activo,Compra Unica,Gasto Bajo,163,36-45,Asia,1,0.49080999862156205
C00029,France,18,Female,Gold,2022-01-11,13,981.01,70.6,31,Electronics,Mobile,Credit Card,Email Campaign,4,3.7,0,0,1,0,0.0,0.0,0.0,0.0,3.4657359027997265,2.6390573296152584,6.889601491602005,-0.06734070447534764,0.14963733773161927,0.1915978518526561,0,En Riesgo,Frecuente,Gasto Medio,1602,18-25,Europa,2,0.5911493469299998
C00030,Netherlands,40,Male,Silver,2024-08-01,12,4801.36,355.76,22,Books,Mobile,Credit Card,Social Media,2,4.8,0,5,1,0,1.0,1.6666666666666667,5.67,0.08333333333333333,3.1354942159291497,2.5649493574615367,8.476862742734196,-0.33972017033148016,0.06700003375814713,1.44786044816997,0,Activo,Frecuente,Gasto Alto,669,36-45,Europa,1,0.5887273680545693
C00031,Canada,33,Male,Free,2023-10-23,2,132.01,57.84,39,Home & Kitchen,Desktop,Credit Card,Email Campaign,0,3.6,0,4,1,0,0.0,0.0,0.0,0.0,3.6888794541139363,1.0986122886681098,4.890424313365204,0.11670547664782706,-1.5681026220006942,-1.3906820095366654,2,En Riesgo,Ocasional,Gasto Bajo,952,26-35,Norteamérica,0,0.49412551270252825
C00032,United States,18,Female,Silver,2023-12-08,11,1431.44,129.02,26,Jewelry & Accessories,Tablet,PayPal,Organic Search,1,4.3,0,4,1,0,2.0,8.75,92.01,0.18181818181818182,3.295836866004329,2.4849066497880004,7.267134562894947,-0.20747143518451433,-0.02225505409066562,0.4904022710998449,0,Activo,Frecuente,Gasto Alto,906,18-25,Norteamérica,1,0.6212272908802
C00033,United Kingdom,38,Female,Free,2025-04-11,2,170.56,76.22,141,Electronics,Mobile,Credit Card,Social Media,0,3.7,0,3,1,0,2.0,21.666666666666668,90.09,1.0,4.955827057601261,1.0986122886681098,5.14493305964868,1.1616689843615795,-1.5681026220006942,-1.1892471051291646,2,Dormido,Ocasional,Gasto Bajo,416,36-45,Europa,2,0.4856319200733188
C00034,Canada,36,Male,Silver,2025-07-18,10,428.48,40.62,21,Clothing & Apparel,Desktop,UPI / Digital Wallet,Social Media,2,4.6,1,1,1,0,2.0,2.5,4.67,0.2,3.091042453358316,2.3978952727983707,6.062575174565935,-0.37638346217734686,-0.11928085847413247,-0.462964985563925,2,Activo,Frecuente,Gasto Bajo,318,36-45,Norteamérica,1,0.5456729951579836
C00035,United States,34,Female,Silver,2023-09-17,15,477.75,31.33,90,Toys & Games,Desktop,PayPal,Email Campaign,2,3.4,1,14,1,0,1.0,7.5,6.76,0.06666666666666667,4.51085950651685,2.772588722239781,6.171178540494855,0.7946649727354456,0.2985373003351647,-0.377009163008976,0,Dormido,Frecuente,Gasto Bajo,988,26-35,Norteamérica,2,0.6370412922580003
C00036,Brazil,24,Male,Silver,2026-03-02,5,698.38,123.63,54,Home & Kitchen,Mobile,Credit Card,Social Media,1,3.8,0,6,0,0,0.0,0.0,0.0,0.0,4.007333185232471,1.791759469228055,6.550194228281027,0.3793623750058859,-0.79517883804568,-0.07703130388615272,2,En Riesgo,Ocasional,Gasto Medio,91,18-25,Latinoamérica,0,0.6865223226435139
C00037,India,48,Male,Platinum,2024-12-15,8,1005.04,146.36,4,Beauty & Personal Care,Desktop,Debit Card,Email Campaign,1,4.5,0,18,1,0,0.0,0.0,0.0,0.0,1.6094379124341003,2.1972245773362196,6.913777111300631,-1.5983934915323468,-0.34304740851649596,0.2107320219513167,1,Activo,Frecuente,Gasto Medio,533,46-55,Asia,0,0.7743370313143321
C00038,United States,34,Male,Free,2026-02-28,22,1107.07,58.01,79,Beauty & Personal Care,Mobile,PayPal,Social Media,8,4.7,2,1,0,0,1.0,5.0,3.11,0.045454545454545456,4.382026634673881,3.1354942159291497,7.0103750422069595,0.6884051327078847,0.70321078854564,0.2871859562943266,0,Dormido,Frecuente,Gasto Medio,93,26-35,Norteamérica,0,0.6378466959065051
C00039,Canada,55,Male,Free,2025-10-04,16,2269.28,124.82,23,Clothing & Apparel,Mobile,Credit Card,Direct,5,4.6,2,4,1,0,3.0,10.833333333333334,86.33,0.1875,3.1780538303479458,2.833213344056216,7.727658450886328,-0.3046175000650891,0.36613941054983395,0.8548910625836195,0,Activo,Frecuente,Gasto Alto,240,46-55,Norteamérica,1,0.5133628195928155
C00040,India,32,Male,Free,2025-08-15,28,2841.93,113.93,121,Home & Kitchen,Tablet,PayPal,Paid Ad,5,4.7,2,8,0,0,2.0,8.125,118.16000000000001,0.07142857142857142,4.804021044733257,3.367295829986474,7.9525904894695785,1.0364611673516666,0.9616912176506566,1.0329170218162163,0,Dormido,Frecuente,Gasto Alto,290,26-35,Asia,0,0.42489369310608427
